,Dollar,Ibovespa,Selic
2007-08-24,1.9718999862670898,52998.0,11.5
2007-08-27,1.9520000219345093,53078.0,11.5
2007-08-28,1.9833999872207642,51645.0,11.5
2007-08-29,1.9710999727249146,52735.0,11.5
2007-08-30,1.9630999565124512,52858.0,11.5
2007-08-31,1.9631999731063843,54637.0,11.5
2007-09-03,1.9510999917984009,54833.0,11.5
2007-09-04,1.94350004196167,55250.0,11.5
2007-09-05,1.965399980545044,54408.0,11.5
2007-09-06,1.9467999935150146,54569.0,11.25
2007-09-07,1.9585000276565552,,11.25
2007-09-10,,52653.0,11.25
2007-09-11,1.9244999885559082,53921.0,11.25
2007-09-12,1.9040000438690186,53883.0,11.25
2007-09-13,1.8954999446868896,54908.0,11.25
2007-09-14,1.8899999856948853,54671.0,11.25
2007-09-17,1.9084999561309814,54341.0,11.25
2007-09-18,1.8975000381469727,56666.0,11.25
2007-09-19,1.8665000200271606,57264.0,11.25
2007-09-20,1.8528000116348267,56906.0,11.25
2007-09-21,1.8569999933242798,57799.0,11.25
2007-09-24,1.864300012588501,58719.0,11.25
2007-09-25,1.8621000051498413,58858.0,11.25
2007-09-26,1.8494999408721924,59715.0,11.25
2007-09-27,1.8365000486373901,61052.0,11.25
2007-09-28,1.8339999914169312,60465.0,11.25
2007-10-01,1.815999984741211,62340.0,11.25
2007-10-02,1.819000005722046,62017.0,11.25
2007-10-03,1.819000005722046,60099.0,11.25
2007-10-04,1.8250999450683594,60407.0,11.25
2007-10-05,1.8049999475479126,62319.0,11.25
2007-10-08,1.8125,62661.0,11.25
2007-10-09,1.7975000143051147,63549.0,11.25
2007-10-10,1.7984000444412231,63197.0,11.25
2007-10-11,1.7869999408721924,62456.0,11.25
2007-10-12,1.799299955368042,,11.25
2007-10-15,1.8050999641418457,62969.0,11.25
2007-10-16,1.8193999528884888,61718.0,11.25
2007-10-17,1.8044999837875366,63194.0,11.25
2007-10-18,1.8005000352859497,63261.0,11.25
2007-10-19,1.7905000448226929,60894.0,11.25
2007-10-22,1.816499948501587,61215.0,11.25
2007-10-23,1.7934999465942383,62697.0,11.25
2007-10-24,1.7990000247955322,62625.0,11.25
2007-10-25,1.7879999876022339,62341.0,11.25
2007-10-26,1.7720999717712402,64276.0,11.25
2007-10-29,1.749500036239624,65044.0,11.25
2007-10-30,1.746999979019165,64383.0,11.25
2007-10-31,1.736199975013733,65318.0,11.25
2007-11-01,1.7395000457763672,64050.0,11.25
2007-11-02,1.747499942779541,,11.25
2007-11-05,1.7519999742507935,62960.0,11.25
2007-11-06,1.7267999649047852,64503.0,11.25
2007-11-07,1.7268999814987183,63501.0,11.25
2007-11-08,1.7338000535964966,63562.0,11.25
2007-11-09,1.7473000288009644,64321.0,11.25
2007-11-12,1.7734999656677246,61527.0,11.25
